t,borrow,dst,src,is_vector,rounds,optype
285,00,00000000,00000000,0,00000000,0000
286,00,00000000,00000000,0,00000000,0000
287,00,00000000,00000000,0,00000000,0000
288,01,10101011,10101010,1,00000110,0001
289,00,00000000,00000000,0,00000000,0000
290,00,00000000,00000000,0,00000000,0000
291,00,00000000,00000000,0,00000000,0000
292,00,00000000,00000000,0,00000000,0000
293,00,00000000,00000000,0,00000000,0000
294,00,00000000,00000000,0,00000000,0000
295,00,00000000,00000000,0,00000000,0000
296,01,10000100,10000011,0,00000000,0011
297,00,00000000,00000000,0,00000000,0000
298,00,00000000,00000000,0,00000000,0000
299,00,00000000,00000000,0,00000000,0000
300,00,00000000,00000000,0,00000000,0000
301,00,00000000,00000000,0,00000000,0000
302,00,00000000,00000000,0,00000000,0000
303,00,00000000,00000000,0,00000000,0000
304,00,00000000,00000000,0,00000000,0000
305,00,00000000,00000000,0,00000000,0000
306,00,00000000,00000000,0,00000000,0000
307,00,00000000,00000000,0,00000000,0000
308,01,10001011,10001010,0,00000000,0011
309,00,00000000,00000000,0,00000000,0000
310,00,00000000,00000000,0,00000000,0000
311,00,00000000,00000000,0,00000000,0000
312,00,00000000,00000000,0,00000000,0000
313,00,00000000,00000000,0,00000000,0000
314,00,00000000,00000000,0,00000000,0000
315,00,00000000,00000000,0,00000000,0000
316,00,00000000,00000000,0,00000000,0000
317,00,00000000,00000000,0,00000000,0000
318,00,00000000,00000000,0,00000000,0000
319,00,00000000,00000000,0,00000000,0000
320,01,10101101,10101100,1,00000110,0001
321,00,00000000,00000000,0,00000000,0000
322,00,00000000,00000000,0,00000000,0000
323,00,00000000,00000000,0,00000000,0000
324,00,00000000,00000000,0,00000000,0000
325,01,10010010,10010001,0,00000000,0011
326,01,10110011,10110010,1,00000110,0001
327,00,00000000,00000000,0,00000000,0000
328,00,00000000,00000000,0,00000000,0000
329,00,00000000,00000000,0,00000000,0000
330,00,00000000,00000000,0,00000000,0000
331,00,00000000,00000000,0,00000000,0000
332,01,10110101,10110100,1,00000110,0001
333,00,00000000,00000000,0,00000000,0000
334,00,00000000,00000000,0,00000000,0000
335,00,00000000,00000000,0,00000000,0000
336,00,00000000,00000000,0,00000000,0000
337,00,00000000,00000000,0,00000000,0000
338,01,10111011,10111010,1,00000110,0001
339,00,00000000,00000000,0,00000000,0000
340,00,00000000,00000000,0,00000000,0000
341,00,00000000,00000000,0,00000000,0000
342,00,00000000,00000000,0,00000000,0000
343,00,00000000,00000000,0,00000000,0000
344,01,10111101,10111100,1,00000110,0001
345,00,00000000,00000000,0,00000000,0000
346,00,00000000,00000000,0,00000000,0000
347,00,00000000,00000000,0,00000000,0000
348,00,00000000,00000000,0,00000000,0000
349,00,00000000,00000000,0,00000000,0000
350,01,11000011,11000010,1,00000110,0001
