Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.05	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.074	0.074	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.05	0.049	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.05	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.067	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.073	0.072	0 ms
Numeric time: 0.049	0.05	0 ms
Symbolic time: 0.07	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.07	0.069	0 ms
Numeric time: 0.049	0.05	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.05	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.054	0.054	0 ms
Symbolic time: 0.068	0.067	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.067	0.067	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.071	0.071	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.068	0.067	0 ms
Numeric time: 0.05	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.052	0.052	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.05	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.073	0.072	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.07	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.067	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.072	0.072	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.067	0 ms
Numeric time: 0.05	0.049	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.067	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.067	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.071	0.071	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.07	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.052	0.052	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.067	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.074	0.074	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.067	0.067	0 ms
Numeric time: 0.051	0.051	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.069	0.068	0 ms
