cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
212,0x00000000000,0x0000000d173,0x03c20012b,0x55c0b5b1,0x00000000,0,0,00000000000000000d1730f08004aeae05ad8800000000
213,0x000000390fb,0x0000000e17f,0x0502def21,0x00000000,0x00000000,0,0,000000e43ec000000e17f140b7bc840000000000000000
214,0x0000003a0ff,0x0000000f1af,0x0520ff121,0x00000000,0x00000000,0,0,000000e83fc000000f1af1483fc4840000000000000000
215,0x0000003b103,0x000000101bb,0x051aff0e1,0x00000000,0x00000000,0,0,000000ec40c00000101bb146bfc3840000000000000000
216,0x00000000000,0x00000000000,0x00e20ae02,0x00000000,0x00000000,0,0,00000000000000000000003882b8080000000000000000
217,0x00000000000,0x00000000000,0x00fa02f82,0x1a7a3a02,0x00000000,0,0,00000000000000000000003e80be08d3d1d01000000000
218,0x00000000000,0x00000000000,0x0526ff161,0x00000000,0x00000000,0,0,000000000000000000000149bfc5840000000000000000
219,0x00000000000,0x00000000000,0x010006fe2,0x00000000,0x15f5c003,0,0,00000000000000000000004001bf88000000015f5c0030
220,0x00000000000,0x00000000000,0x03a401e4b,0x00000000,0x00000000,0,0,0000000000000000000000e900792c0000000000000000
221,0x00000000000,0x00000000000,0x010409021,0x00000000,0x00000000,0,0,0000000000000000000000410240840000000000000000
222,0x00000000000,0x00000000000,0x011c011a1,0x00000000,0x00000000,0,0,0000000000000000000000470046840000000000000000
223,0x0000003c143,0x000000111c7,0x012205201,0x00000000,0x00000000,0,0,000000f050c00000111c70488148040000000000000000
224,0x0000003d147,0x000000121f7,0x05451f361,0x00000000,0x00000000,0,0,000000f451c00000121f715147cd840000000000000000
225,0x00000000000,0x00000000000,0x012809261,0x00000000,0x00000000,0,0,00000000000000000000004a0249840000000000000000
226,0x00000000000,0x00000000000,0x053f1f321,0x00000000,0x00000000,0,0,00000000000000000000014fc7cc840000000000000000
227,0x0000003e14b,0x00000013203,0x054b1f3a1,0x00000000,0x00000000,0,0,000000f852c0000013203152c7ce840000000000000000
228,0x00000000000,0x00000000000,0x01060b042,0x00000000,0x00000000,0,0,00000000000000000000004182c1080000000000000000
229,0x00000000000,0x00000000000,0x011e031c2,0x00000000,0x00000000,0,0,00000000000000000000004780c7080000000000000000
230,0x00000000000,0x00000000000,0x012407222,0x00000000,0x00000000,0,0,00000000000000000000004901c8880000000000000000
231,0x00000000000,0x00000000000,0x014605441,0x00000000,0x00000000,0,0,0000000000000000000000518151040000000000000000
232,0x00000000000,0x00000000000,0x03c00010b,0x1a9a5a62,0x00000000,0,0,0000000000000000000000f000042cd4d2d31000000000
233,0x00000000000,0x00000000000,0x012a0b282,0x00000000,0x00000000,0,0,00000000000000000000004a82ca080000000000000000
234,0x00000000000,0x00000000000,0x0140013e1,0x00000000,0x00000000,0,0,000000000000000000000050004f840000000000000000
235,0x0000003f18b,0x0000001420f,0x014c094a1,0x00000000,0x00000000,0,0,000000fc62c000001420f0530252840000000000000000
236,0x00000041193,0x0000001523f,0x05693f5a1,0x00000000,0x00000000,0,0,0000010464c000001523f15a4fd6840000000000000000
237,0x0000004018f,0x0000001624b,0x05633f561,0x00000000,0x00000000,0,0,0000010063c000001624b158cfd5840000000000000000
238,0x00000000000,0x00000000000,0x056f3f5e1,0x00000000,0x00000000,0,0,00000000000000000000015bcfd7840000000000000000
239,0x00000000000,0x00000000000,0x014807462,0x5aa0da81,0x00000000,0,0,00000000000000000000005201d18ad506d40800000000
240,0x000000431d7,0x00000017257,0x03c40014b,0x00000000,0x00000000,0,0,0000010c75c00000172570f100052c0000000000000000
241,0x000000421d3,0x00000000000,0x014203402,0x00000000,0x00000000,0,0,0000010874c000000000005080d0080000000000000000
242,0x000000441db,0x00000000000,0x014e0b4c2,0x00000000,0x00000000,0,0,0000011076c000000000005382d3080000000000000000
243,0x00000000000,0x00000000000,0x016a05681,0x00000000,0x00000000,0,0,00000000000000000000005a815a040000000000000000
244,0x00000000000,0x00000000000,0x016401621,0x1c7c3c02,0x00000000,0,0,000000000000000000000059005884e3e1e01000000000
