t,borrow,dst,src,is_vector,rounds,optype
279,00,00000000,00000000,0,00000000,0000
280,00,00000000,00000000,0,00000000,0000
281,00,00000000,00000000,0,00000000,0000
282,00,00000000,00000000,0,00000000,0000
283,00,00000000,00000000,0,00000000,0000
284,00,00000000,00000000,0,00000000,0000
285,00,00000000,00000000,0,00000000,0000
286,00,00000000,00000000,0,00000000,0000
287,00,00000000,00000000,0,00000000,0000
288,00,00000000,00000000,0,00000000,0000
289,00,00000000,00000000,0,00000000,0000
290,00,00000000,00000000,0,00000000,0000
291,00,00000000,00000000,0,00000000,0000
292,00,00000000,00000000,0,00000000,0000
293,00,00000000,00000000,0,00000000,0000
294,00,00000000,00000000,0,00000000,0000
295,00,00000000,00000000,0,00000000,0000
296,00,00000000,00000000,0,00000000,0000
297,00,00000000,00000000,0,00000000,0000
298,00,00000000,00000000,0,00000000,0000
299,00,00000000,00000000,0,00000000,0000
300,00,00000000,00000000,0,00000000,0000
301,00,00000000,00000000,0,00000000,0000
302,00,00000000,00000000,0,00000000,0000
303,00,00000000,00000000,0,00000000,0000
304,00,00000000,00000000,0,00000000,0000
305,00,00000000,00000000,0,00000000,0000
306,00,00000000,00000000,0,00000000,0000
307,00,00000000,00000000,0,00000000,0000
308,00,00000000,00000000,0,00000000,0000
309,00,00000000,00000000,0,00000000,0000
310,00,00000000,00000000,0,00000000,0000
311,00,00000000,00000000,0,00000000,0000
312,00,00000000,00000000,0,00000000,0000
313,00,00000000,00000000,0,00000000,0000
314,00,10101101,10101100,0,00000000,0010
315,00,00000000,00000000,0,00000000,0000
316,00,00000000,00000000,0,00000000,0000
317,00,00000000,00000000,0,00000000,0000
318,00,00000000,00000000,0,00000000,0000
319,00,00000000,00000000,0,00000000,0000
320,00,00000000,00000000,0,00000000,0000
321,00,00000000,00000000,0,00000000,0000
322,00,00000000,00000000,0,00000000,0000
323,00,00000000,00000000,0,00000000,0000
324,00,00000000,00000000,0,00000000,0000
325,00,00000000,00000000,0,00000000,0000
326,00,10111101,10111100,0,00000000,0010
327,00,00000000,00000000,0,00000000,0000
328,00,00000000,00000000,0,00000000,0000
329,00,00000000,00000000,0,00000000,0000
330,00,00000000,00000000,0,00000000,0000
331,00,00000000,00000000,0,00000000,0000
332,00,00000000,00000000,0,00000000,0000
333,00,00000000,00000000,0,00000000,0000
334,00,00000000,00000000,0,00000000,0000
335,00,00000000,00000000,0,00000000,0000
336,00,00000000,00000000,0,00000000,0000
337,00,00000000,00000000,0,00000000,0000
338,00,00000000,00000000,0,00000000,0000
339,00,00000000,00000000,0,00000000,0000
340,00,10101111,10101110,0,00000000,0011
341,00,00000000,00000000,0,00000000,0000
342,00,00000000,00000000,0,00000000,0000
343,00,11001101,11001100,0,00000000,0010
344,00,00000000,00000000,0,00000000,0000
345,00,00000000,00000000,0,00000000,0000
346,00,00000000,00000000,0,00000000,0000
347,00,00000000,00000000,0,00000000,0000
348,00,00000000,00000000,0,00000000,0000
349,00,00000000,00000000,0,00000000,0000
350,00,00000000,00000000,0,00000000,0000
351,00,00000000,00000000,0,00000000,0000
352,00,10111111,10111110,0,00000000,0011
353,00,00000000,00000000,0,00000000,0000
354,00,00000000,00000000,0,00000000,0000
355,00,00000000,00000000,0,00000000,0000
356,00,00000000,00000000,0,00000000,0000
357,00,00000000,00000000,0,00000000,0000
358,00,00000000,00000000,0,00000000,0000
359,00,00000000,00000000,0,00000000,0000
360,00,00000000,00000000,0,00000000,0000
361,00,00000000,00000000,0,00000000,0000
362,00,00000000,00000000,0,00000000,0000
363,00,00000000,00000000,0,00000000,0000
364,00,00000000,00000000,0,00000000,0000
365,00,00000000,00000000,0,00000000,0000
366,00,00000000,00000000,0,00000000,0000
367,00,00000000,00000000,0,00000000,0000
368,00,00000000,00000000,0,00000000,0000
369,00,11001111,11001110,0,00000000,0011
370,00,11011101,11011100,0,00000000,0010
371,00,00000000,00000000,0,00000000,0000
372,00,11101101,11101100,0,00000000,0010
373,00,00000000,00000000,0,00000000,0000
374,00,00000000,00000000,0,00000000,0000
375,00,00000000,00000000,0,00000000,0000
376,00,00000000,00000000,0,00000000,0000
377,00,00000000,00000000,0,00000000,0000
378,00,00000000,00000000,0,00000000,0000
379,00,00000000,00000000,0,00000000,0000
380,00,11111101,11111100,0,00000000,0010
381,00,00000000,00000000,0,00000000,0000
382,00,00000000,00000000,0,00000000,0000
383,00,00000000,00000000,0,00000000,0000
384,00,00000000,00000000,0,00000000,0000
385,00,00000000,00000000,0,00000000,0000
386,00,00000000,00000000,0,00000000,0000
387,00,00000000,00000000,0,00000000,0000
388,00,00000000,00000000,0,00000000,0000
389,00,00000000,00000000,0,00000000,0000
390,00,00000000,00000000,0,00000000,0000
391,00,00000000,00000000,0,00000000,0000
392,00,00001101,00001100,0,00000000,0010
393,00,00000000,00000000,0,00000000,0000
394,00,00000000,00000000,0,00000000,0000
395,00,00000000,00000000,0,00000000,0000
396,00,11011111,11011110,0,00000000,0011
397,00,00011101,00011100,0,00000000,0010
398,00,11101111,11101110,0,00000000,0011
399,00,00000000,00000000,0,00000000,0000
400,00,00000000,00000000,0,00000000,0000
401,00,00000000,00000000,0,00000000,0000
402,00,00000000,00000000,0,00000000,0000
403,00,00000000,00000000,0,00000000,0000
404,00,00000000,00000000,0,00000000,0000
405,00,00000000,00000000,0,00000000,0000
406,00,11111111,11111110,0,00000000,0011
407,00,00000000,00000000,0,00000000,0000
408,00,00000000,00000000,0,00000000,0000
409,00,00101101,00101100,0,00000000,0010
410,00,00000000,00000000,0,00000000,0000
411,00,00000000,00000000,0,00000000,0000
412,00,00000000,00000000,0,00000000,0000
413,00,00000000,00000000,0,00000000,0000
414,00,00000000,00000000,0,00000000,0000
415,00,00000000,00000000,0,00000000,0000
416,00,00000000,00000000,0,00000000,0000
417,00,00000000,00000000,0,00000000,0000
418,00,00001111,00001110,0,00000000,0011
419,00,00000000,00000000,0,00000000,0000
420,00,00000000,00000000,0,00000000,0000
421,00,00000000,00000000,0,00000000,0000
422,00,00000000,00000000,0,00000000,0000
423,00,00011111,00011110,0,00000000,0011
424,00,00000000,00000000,0,00000000,0000
425,00,00000000,00000000,0,00000000,0000
426,00,00000000,00000000,0,00000000,0000
427,00,00000000,00000000,0,00000000,0000
428,00,00000000,00000000,0,00000000,0000
429,00,00000000,00000000,0,00000000,0000
430,00,00000000,00000000,0,00000000,0000
431,00,00000000,00000000,0,00000000,0000
432,00,00000000,00000000,0,00000000,0000
433,00,00000000,00000000,0,00000000,0000
434,00,00000000,00000000,0,00000000,0000
435,00,00101111,00101110,0,00000000,0011
436,00,00000000,00000000,0,00000000,0000
437,00,00000000,00000000,0,00000000,0000
438,00,00111101,00111100,0,00000000,0010
439,00,00000000,00000000,0,00000000,0000
440,00,00000000,00000000,0,00000000,0000
441,00,00000000,00000000,0,00000000,0000
442,00,00000000,00000000,0,00000000,0000
443,00,00000000,00000000,0,00000000,0000
444,00,00000000,00000000,0,00000000,0000
445,00,00000000,00000000,0,00000000,0000
446,00,00000000,00000000,0,00000000,0000
447,00,00000000,00000000,0,00000000,0000
448,00,00000000,00000000,0,00000000,0000
449,00,00000000,00000000,0,00000000,0000
450,00,00000000,00000000,0,00000000,0000
451,00,00000000,00000000,0,00000000,0000
452,00,00000000,00000000,0,00000000,0000
453,00,00000000,00000000,0,00000000,0000
454,00,01001101,01001100,0,00000000,0010
455,00,00000000,00000000,0,00000000,0000
456,00,00000000,00000000,0,00000000,0000
457,00,00000000,00000000,0,00000000,0000
458,00,00000000,00000000,0,00000000,0000
459,00,00000000,00000000,0,00000000,0000
460,00,00000000,00000000,0,00000000,0000
461,00,00000000,00000000,0,00000000,0000
462,00,00000000,00000000,0,00000000,0000
463,00,00000000,00000000,0,00000000,0000
464,00,00111111,00111110,0,00000000,0011
465,00,00000000,00000000,0,00000000,0000
466,00,00000000,00000000,0,00000000,0000
467,00,00000000,00000000,0,00000000,0000
468,00,00000000,00000000,0,00000000,0000
469,00,00000000,00000000,0,00000000,0000
470,00,00000000,00000000,0,00000000,0000
471,00,00000000,00000000,0,00000000,0000
472,00,00000000,00000000,0,00000000,0000
473,00,00000000,00000000,0,00000000,0000
474,00,00000000,00000000,0,00000000,0000
475,00,00000000,00000000,0,00000000,0000
476,00,00000000,00000000,0,00000000,0000
477,00,00000000,00000000,0,00000000,0000
478,00,00000000,00000000,0,00000000,0000
479,00,00000000,00000000,0,00000000,0000
480,00,00000000,00000000,0,00000000,0000
481,00,01001111,01001110,0,00000000,0011
482,00,00000000,00000000,0,00000000,0000
483,00,00000000,00000000,0,00000000,0000
484,00,00000000,00000000,0,00000000,0000
485,00,00000000,00000000,0,00000000,0000
486,00,00000000,00000000,0,00000000,0000
487,00,00000000,00000000,0,00000000,0000
488,00,00000000,00000000,0,00000000,0000
489,00,00000000,00000000,0,00000000,0000
490,00,00000000,00000000,0,00000000,0000
491,00,00000000,00000000,0,00000000,0000
492,00,00000000,00000000,0,00000000,0000
493,00,00000000,00000000,0,00000000,0000
494,00,00000000,00000000,0,00000000,0000
495,00,00000000,00000000,0,00000000,0000
496,00,00000000,00000000,0,00000000,0000
497,00,00000000,00000000,0,00000000,0000
498,00,00000000,00000000,0,00000000,0000
499,00,00000000,00000000,0,00000000,0000
500,00,00000000,00000000,0,00000000,0000
501,00,00000000,00000000,0,00000000,0000
502,00,00000000,00000000,0,00000000,0000
503,00,00000000,00000000,0,00000000,0000
504,00,00000000,00000000,0,00000000,0000
505,00,00000000,00000000,0,00000000,0000
506,00,00000000,00000000,0,00000000,0000
507,00,00000000,00000000,0,00000000,0000
508,00,00000000,00000000,0,00000000,0000
509,00,00000000,00000000,0,00000000,0000
510,00,00000000,00000000,0,00000000,0000
511,00,00000000,00000000,0,00000000,0000
512,00,00000000,00000000,0,00000000,0000
513,00,00000000,00000000,0,00000000,0000
514,00,00000000,00000000,0,00000000,0000
515,00,00000000,00000000,0,00000000,0000
516,00,00000000,00000000,0,00000000,0000
517,00,00000000,00000000,0,00000000,0000
518,00,00000000,00000000,0,00000000,0000
519,00,00000000,00000000,0,00000000,0000
520,00,00000000,00000000,0,00000000,0000
521,00,00000000,00000000,0,00000000,0000
522,00,00000000,00000000,0,00000000,0000
523,00,00000000,00000000,0,00000000,0000
524,00,00000000,00000000,0,00000000,0000
525,00,00000000,00000000,0,00000000,0000
526,00,00000000,00000000,0,00000000,0000
527,00,01011101,01011100,0,00000000,0010
528,00,00000000,00000000,0,00000000,0000
529,00,00000000,00000000,0,00000000,0000
530,00,00000000,00000000,0,00000000,0000
531,00,00000000,00000000,0,00000000,0000
532,00,00000000,00000000,0,00000000,0000
533,00,00000000,00000000,0,00000000,0000
534,00,00000000,00000000,0,00000000,0000
535,00,00000000,00000000,0,00000000,0000
536,00,00000000,00000000,0,00000000,0000
537,00,00000000,00000000,0,00000000,0000
538,00,00000000,00000000,0,00000000,0000
539,00,00000000,00000000,0,00000000,0000
540,00,00000000,00000000,0,00000000,0000
541,00,00000000,00000000,0,00000000,0000
542,00,00000000,00000000,0,00000000,0000
543,00,00000000,00000000,0,00000000,0000
544,00,00000000,00000000,0,00000000,0000
545,00,00000000,00000000,0,00000000,0000
546,00,00000000,00000000,0,00000000,0000
547,00,00000000,00000000,0,00000000,0000
548,00,00000000,00000000,0,00000000,0000
549,00,00000000,00000000,0,00000000,0000
550,00,00000000,00000000,0,00000000,0000
551,00,00000000,00000000,0,00000000,0000
552,00,00000000,00000000,0,00000000,0000
553,00,01011111,01011110,0,00000000,0011
554,00,01101101,01101100,0,00000000,0010
555,00,00000000,00000000,0,00000000,0000
556,00,00000000,00000000,0,00000000,0000
557,00,00000000,00000000,0,00000000,0000
558,00,00000000,00000000,0,00000000,0000
559,00,00000000,00000000,0,00000000,0000
560,00,00000000,00000000,0,00000000,0000
561,00,00000000,00000000,0,00000000,0000
562,00,00000000,00000000,0,00000000,0000
563,00,00000000,00000000,0,00000000,0000
564,00,00000000,00000000,0,00000000,0000
565,00,00000000,00000000,0,00000000,0000
566,00,00000000,00000000,0,00000000,0000
567,00,00000000,00000000,0,00000000,0000
568,00,00000000,00000000,0,00000000,0000
569,00,00000000,00000000,0,00000000,0000
570,00,00000000,00000000,0,00000000,0000
