t,imm,connect,dst,src1,src0,mask,optype
401,0,0,00000000,00000000,00000000,0,0000
402,0,0,10110101,10110011,10110010,0,0100
403,0,0,00000000,00000000,00000000,0,0000
404,0,0,00000000,00000000,00000000,0,0000
405,0,0,00000000,00000000,00000000,0,0000
406,0,0,11101100,11101010,11101001,0,0010
407,0,0,00000000,00000000,00000000,0,0000
408,0,0,00000000,00000000,00000000,0,0000
409,0,0,10110110,10110101,10110100,0,0100
410,0,0,11001111,11001110,11000110,0,0010
411,0,0,00000000,00000000,00000000,0,0000
412,0,0,00000000,00000000,00000000,0,0000
413,0,0,11101101,11101100,11101011,0,0010
414,0,0,11111011,11111000,11110111,0,0010
415,0,0,00000000,00000000,00000000,0,0000
416,0,0,00000000,00000000,00000000,0,0000
417,0,0,00000000,00000000,00000000,0,0000
418,0,0,00000000,00000000,00000000,0,0000
419,0,0,00000000,00000000,00000000,0,0000
420,0,0,00000000,00000000,00000000,0,0000
421,0,0,00000000,00000000,00000000,0,0000
422,0,0,00000000,00000000,00000000,0,0000
423,0,0,00000000,00000000,00000000,0,0000
424,0,0,00000000,00000000,00000000,0,0000
425,0,0,00000000,00000000,00000000,0,0000
426,0,0,11011111,11011110,11010110,0,0010
427,0,0,00000000,00000000,00000000,0,0000
428,0,0,00000000,00000000,00000000,0,0000
429,0,0,11000100,11000001,11000000,0,0100
430,0,0,00000000,00000000,00000000,0,0000
431,0,0,11000101,11000011,11000010,0,0100
432,0,0,00000000,00000000,00000000,0,0000
433,0,0,00000000,00000000,00000000,0,0000
434,0,0,00000000,00000000,00000000,0,0000
435,0,0,00000000,00000000,00000000,0,0000
436,0,0,00000000,00000000,00000000,0,0000
437,0,0,00000000,00000000,00000000,0,0000
438,0,0,11000110,11000101,11000100,0,0100
439,0,0,00000000,00000000,00000000,0,0000
440,0,0,00000000,00000000,00000000,0,0000
441,0,0,00000000,00000000,00000000,0,0000
442,0,0,00000000,00000000,00000000,0,0000
443,0,0,11101111,11101110,11100110,0,0010
444,0,0,00000000,00000000,00000000,0,0000
445,0,0,00000000,00000000,00000000,0,0000
446,0,0,11111100,11111010,11111001,0,0010
447,0,0,00000000,00000000,00000000,0,0000
448,0,0,11010100,11010001,11010000,0,0100
449,0,0,11010101,11010011,11010010,0,0100
450,0,0,00000000,00000000,00000000,0,0000
451,0,0,00000000,00000000,00000000,0,0000
452,0,0,00000000,00000000,00000000,0,0000
453,0,0,11111101,11111100,11111011,0,0010
454,0,0,00001011,00001000,00000111,0,0010
455,0,0,00000000,00000000,00000000,0,0000
456,0,0,11010110,11010101,11010100,0,0100
457,0,0,00000000,00000000,00000000,0,0000
458,0,0,00000000,00000000,00000000,0,0000
459,0,0,00000000,00000000,00000000,0,0000
460,0,0,00000000,00000000,00000000,0,0000
461,0,0,00000000,00000000,00000000,0,0000
462,0,0,00001100,00001010,00001001,0,0010
463,0,0,00000000,00000000,00000000,0,0000
464,0,0,11100100,11100001,11100000,0,0100
465,0,0,00000000,00000000,00000000,0,0000
466,0,0,00000000,00000000,00000000,0,0000
467,0,0,00000000,00000000,00000000,0,0000
468,0,0,00000000,00000000,00000000,0,0000
469,0,0,00001101,00001100,00001011,0,0010
