t,half,imm,connect,dst,src1,src0,mask,optype
380,00,0,00,11111010,00000000,11111001,0,0001
381,00,0,00,11111101,00000010,11111100,0,0001
382,00,0,10,01010111,00100101,01010010,0,0011
383,00,0,00,00000110,00000100,11111111,0,0001
384,00,0,10,00010001,11101111,00001011,0,0001
385,00,0,10,00010100,11101111,00001101,0,0001
386,00,0,10,01100101,00110101,01100010,0,0011
387,00,0,00,11111011,00000001,11111010,0,0010
388,00,0,00,11111110,00000011,11111101,0,0010
389,00,0,10,00010111,11101111,00001111,0,0001
390,00,0,00,00000111,00000101,00000110,0,0010
391,00,0,00,00010010,00000000,00010001,0,0001
392,00,0,00,00010101,00000010,00010100,0,0001
393,00,0,01,01011000,00000000,01010111,0,1110
394,00,0,01,01100110,00000000,01100101,0,1110
395,00,0,01,01101000,00000000,01100111,0,1110
396,00,0,00,00011000,00000100,00010111,0,0001
397,00,0,10,01101001,00110101,01100100,0,0011
398,00,0,00,00010011,00000001,00010010,0,0010
399,00,0,00,00010110,00000011,00010101,0,0010
400,00,0,01,00101000,00000000,01011000,0,1101
401,00,0,01,00110110,00000000,01100110,0,1101
402,00,0,01,00110111,00000000,01101000,0,1101
403,00,0,00,00011001,00000101,00011000,0,0010
404,00,0,01,01101010,00000000,01101001,0,1110
405,00,0,10,01110111,01000101,01110100,0,0011
406,00,0,10,01111001,01000101,01110101,0,0011
407,00,0,10,01111011,01000101,01110110,0,0011
408,00,0,10,10001001,01010101,10000110,0,0011
409,00,0,10,10001011,01010101,10000111,0,0011
410,00,0,10,10001101,01010101,10001000,0,0011
411,00,0,01,00111000,00000000,01101010,0,1101
412,00,0,01,01111000,00000000,01110111,0,1110
413,00,0,01,01111010,00000000,01111001,0,1110
414,00,0,01,01111100,00000000,01111011,0,1110
415,00,0,01,10001010,00000000,10001001,0,1110
416,00,0,01,10001100,00000000,10001011,0,1110
417,00,0,01,10001110,00000000,10001101,0,1110
418,00,0,10,10011011,01100101,10011000,0,0011
419,00,0,10,00100011,11111111,00011101,0,0001
420,00,0,10,00100110,11111111,00011111,0,0001
421,00,0,10,00101001,11111111,00100001,0,0001
422,00,0,01,01000110,00000000,01111000,0,1101
423,00,0,01,01000111,00000000,01111010,0,1101
424,00,0,01,01001000,00000000,01111100,0,1101
425,00,0,01,01010110,00000000,10001010,0,1101
426,00,0,00,00100100,00000000,00100011,0,0001
427,00,0,00,00100111,00000010,00100110,0,0001
428,00,0,01,01010111,00000000,10001100,0,1101
429,00,0,00,00101010,00000100,00101001,0,0001
430,00,0,10,00110101,00001111,00101111,0,0001
431,00,0,10,00111000,00001111,00110001,0,0001
432,00,0,10,00111011,00001111,00110011,0,0001
433,00,0,00,00100101,00000001,00100100,0,0010
434,00,0,01,01011000,00000000,10001110,0,1101
435,00,0,00,00101000,00000011,00100111,0,0010
436,00,0,01,10000000,00000000,10111100,0,1011
437,00,0,00,00101011,00000101,00101010,0,0010
438,00,0,00,00110110,00000000,00110101,0,0001
439,00,0,00,00111001,00000010,00111000,0,0001
440,00,0,00,00111100,00000100,00111011,0,0001
441,00,0,10,01000111,00011111,01000001,0,0001
442,00,0,10,01001010,00011111,01000011,0,0001
443,00,0,10,01001101,00011111,01000101,0,0001
444,00,0,10,10011101,01100101,10011001,0,0011
445,00,0,00,00110111,00000001,00110110,0,0010
446,00,0,00,00111010,00000011,00111001,0,0010
447,00,0,00,00111101,00000101,00111100,0,0010
448,00,0,00,01001000,00000000,01000111,0,0001
449,00,0,00,01001011,00000010,01001010,0,0001
450,00,0,01,10000001,00000000,10111101,0,1011
451,00,0,00,01001110,00000100,01001101,0,0001
452,00,0,01,10011110,00000000,10011101,0,1110
453,00,0,01,10011100,00000000,10011011,0,1110
454,00,0,10,10011111,01100101,10011010,0,0011
455,00,0,00,01001001,00000001,01001000,0,0010
