cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
268,0x00000000000,0x00000000000,0x03c401c2e,0x00000000,0x00000000,0,0,0000000000000000000000f10070b80000000000000000
269,0x00000000000,0x00000000000,0x03c801c6e,0x00000000,0x00000000,0,0,0000000000000000000000f20071b80000000000000000
270,0x00000000000,0x0000001f323,0x05ebabe23,0x00000000,0x00000000,0,0,00000000000000001f32317aeaf88c0000000000000000
271,0x0000004b2ab,0x0000002032f,0x05e7abe03,0x00000000,0x00000000,0,0,0000012caac000002032f179eaf80c0000000000000000
272,0x0000004c2af,0x00000000000,0x05efabe43,0x00000000,0x00000000,0,0,00000130abc000000000017beaf90c0000000000000000
273,0x00000000000,0x00000000000,0x0417ca103,0x00000000,0x00000000,0,0,000000000000000000000105f2840c0000000000000000
274,0x0000004d2b3,0x00000000000,0x03cc01cae,0x00000000,0x00000000,0,0,00000134acc00000000000f30072b80000000000000000
275,0x00000000000,0x00000000000,0x038c01c4d,0x1e7e3e02,0x00000000,0,0,0000000000000000000000e3007134f3f1f01000000000
276,0x00000000000,0x00000000000,0x038e01c8d,0x00000000,0x00000000,0,0,0000000000000000000000e38072340000000000000000
277,0x00000000000,0x00000000000,0x03ec01eae,0x1736f6cb,0x00000000,0,0,0000000000000000000000fb007ab8b9b7b65800000000
278,0x00000000000,0x00000000000,0x03e801e6e,0x00000000,0x00000000,0,0,0000000000000000000000fa0079b80000000000000000
279,0x00000000000,0x00000000000,0x03f001eee,0x00000000,0x00000000,0,0,0000000000000000000000fc007bb80000000000000000
280,0x00000000000,0x00000000000,0x02180016e,0x00000000,0x00000000,0,0,0000000000000000000000860005b80000000000000000
281,0x00000000000,0x00000000000,0x039001ccd,0x00000000,0x00000000,0,0,0000000000000000000000e40073340000000000000000
282,0x00000000000,0x00000000000,0x041bca123,0x00000000,0x00000000,0,0,000000000000000000000106f2848c0000000000000000
283,0x00000000000,0x00000000000,0x041fca143,0x00000000,0x00000000,0,0,000000000000000000000107f2850c0000000000000000
284,0x00000000000,0x00000000000,0x03ae01ecd,0x1757172b,0x00000000,0,0,0000000000000000000000eb807b34bab8b95800000000
285,0x00000000000,0x00000000000,0x03ac01e8d,0x00000000,0x00000000,0,0,0000000000000000000000eb007a340000000000000000
286,0x00000000000,0x00000000000,0x03b001f0d,0x00000000,0x00000000,0,0,0000000000000000000000ec007c340000000000000000
287,0x00000000000,0x00000000000,0x03cc0018d,0x00000000,0x00000000,0,0,0000000000000000000000f30006340000000000000000
288,0x00000000000,0x00000000000,0x03e40038b,0x1938f8cb,0x00000000,0,0,0000000000000000000000f9000e2cc9c7c65800000000
289,0x00000000000,0x00000000000,0x021c001ae,0x00000000,0x00000000,0,0,0000000000000000000000870006b80000000000000000
290,0x00000000000,0x00000000000,0x0220001ee,0x00000000,0x00000000,0,0,0000000000000000000000880007b80000000000000000
291,0x00000000000,0x00000000000,0x02000058b,0x5760d74f,0x00000000,0,0,00000000000000000000008000162ebb06ba7800000000
292,0x00000000000,0x00000000000,0x0202005ab,0x00000000,0x00000000,0,0,0000000000000000000000808016ac0000000000000000
293,0x00000000000,0x00000000000,0x0204005cb,0x00000000,0x00000000,0,0,00000000000000000000008100172c0000000000000000
294,0x00000000000,0x00000000000,0x0220007cb,0x00000000,0x00000000,0,0,000000000000000000000088001f2c0000000000000000
295,0x00000000000,0x00000000000,0x0222007eb,0x1959192b,0x00000000,0,0,000000000000000000000088801faccac8c95800000000
296,0x00000000000,0x00000000000,0x03ce001cd,0x00000000,0x00000000,0,0,0000000000000000000000f38007340000000000000000
297,0x00000000000,0x00000000000,0x03d00020d,0x00000000,0x00000000,0,0,0000000000000000000000f40008340000000000000000
298,0x00000000000,0x00000000000,0x02240080b,0x57809762,0x00000000,0,0,00000000000000000000008900202ebc04bb1000000000
299,0x00000000000,0x00000000000,0x024000a0b,0x1b3afacb,0x00000000,0,0,00000000000000000000009000282cd9d7d65800000000
300,0x00000000000,0x00000000000,0x024200a2b,0x1e9e5e62,0x00000000,0,0,0000000000000000000000908028acf4f2f31000000000
301,0x00000000000,0x00000000000,0x024400a4b,0x00000000,0x00000000,0,0,00000000000000000000009100292c0000000000000000
302,0x00000000000,0x00000000000,0x026000c4b,0x5960d94f,0x00000000,0,0,00000000000000000000009800312ecb06ca7800000000
303,0x00000000000,0x00000000000,0x026200c6b,0x00000000,0x00000000,0,0,0000000000000000000000988031ac0000000000000000
304,0x00000000000,0x00000000000,0x026400c8b,0x00602002,0x00000000,0,0,00000000000000000000009900322c0301001000000000
305,0x00000000000,0x00000000000,0x028000e8b,0x00000000,0x17b78002,0,0,0000000000000000000000a0003a2c000000017b780020
306,0x00000000000,0x00000000000,0x028200eab,0x00000000,0x00000000,0,0,0000000000000000000000a0803aac0000000000000000
307,0x00000000000,0x00000000000,0x028400ecb,0x1b5b1b2b,0x00000000,0,0,0000000000000000000000a1003b2cdad8d95800000000
308,0x00000000000,0x00000000000,0x02a0010cb,0x02622202,0x00000000,0,0,0000000000000000000000a800432c1311101000000000
309,0x00000000000,0x00000000000,0x02a2010eb,0x59809962,0x00000000,0,0,0000000000000000000000a88043aecc04cb1000000000
310,0x00000000000,0x00000000000,0x02a40110b,0x1d3cfccb,0x00000000,0,0,0000000000000000000000a900442ce9e7e65800000000
311,0x00000000000,0x00000000000,0x02c00130b,0x00804062,0x00000000,0,0,0000000000000000000000b0004c2c0402031000000000
312,0x00000000000,0x00000000000,0x02c40134b,0x5ea0de81,0x00000000,0,0,0000000000000000000000b1004d2ef506f40800000000
313,0x00000000000,0x00000000000,0x02c20132b,0x04642402,0x00000000,0,0,0000000000000000000000b0804cac2321201000000000
314,0x00000000000,0x00000000000,0x02e00154b,0x5b60db4f,0x00000000,0,0,0000000000000000000000b800552edb06da7800000000
315,0x00000000000,0x00000000000,0x02e20156b,0x02824262,0x00000000,0,0,0000000000000000000000b88055ac1412131000000000
316,0x00000000000,0x00000000000,0x02e40158b,0x00000000,0x19b98002,0,0,0000000000000000000000b900562c000000019b980020
317,0x00000000000,0x00000000000,0x000000000,0x06662602,0x00000000,0,0,0000000000000000000000000000003331301000000000
318,0x00000000000,0x00000000000,0x000000000,0x1d5d1d2b,0x00000000,0,0,000000000000000000000000000000eae8e95800000000
319,0x00000000000,0x00000000000,0x043bea343,0x40a0c081,0x00000000,0,0,00000000000000000000010efa8d0e0506040800000000
320,0x00000000000,0x00000000000,0x043fea363,0x04844462,0x00000000,0,0,00000000000000000000010ffa8d8c2422231000000000
321,0x00000000000,0x00000000000,0x0443ea383,0x5b809b62,0x00000000,0,0,000000000000000000000110fa8e0edc04db1000000000
322,0x00000000000,0x00000000000,0x000000000,0x42a0c281,0x00000000,0,0,0000000000000000000000000000021506140800000000
323,0x00000000000,0x00000000000,0x000000000,0x08682802,0x00000000,0,0,0000000000000000000000000000004341401000000000
324,0x00000000000,0x00000000000,0x000000000,0x57c0b7b1,0x00000000,0,0,000000000000000000000000000002be05bd8800000000
325,0x00000000000,0x00000000000,0x000000000,0x5d60dd4f,0x00000000,0,0,000000000000000000000000000002eb06ea7800000000
326,0x00000000000,0x00000000000,0x023c003ae,0x06864662,0x00000000,0,0,00000000000000000000008f000eb83432331000000000
327,0x00000000000,0x00000000000,0x0240003ee,0x44a0c481,0x00000000,0,0,000000000000000000000090000fba2506240800000000
328,0x00000000000,0x00000000000,0x02440042e,0x00000000,0x1bbb8002,0,0,0000000000000000000000910010b800000001bbb80020
329,0x00000000000,0x00000000000,0x045e0a583,0x00000000,0x00000000,0,0,00000000000000000000011782960c0000000000000000
330,0x00000000000,0x00000000000,0x04620a5a3,0x08884862,0x00000000,0,0,00000000000000000000011882968c4442431000000000
331,0x00000000000,0x00000000000,0x04660a5c3,0x00000000,0x17f7c003,0,0,00000000000000000000011982970c000000017f7c0030
332,0x00000000000,0x00000000000,0x04822a7c3,0x5d809d62,0x00000000,0,0,0000000000000000000001208a9f0eec04eb1000000000
333,0x00000000000,0x00000000000,0x03ec003cd,0x46a0c681,0x00000000,0,0,0000000000000000000000fb000f363506340800000000
334,0x00000000000,0x00000000000,0x03ee0040d,0x0a6a2a02,0x00000000,0,0,0000000000000000000000fb8010345351501000000000
335,0x00000000000,0x00000000000,0x03f00044d,0x59c0b9b1,0x00000000,0,0,0000000000000000000000fc001136ce05cd8800000000
336,0x00000000000,0x00000000000,0x0260005ee,0x0c6c2c02,0x00000000,0,0,0000000000000000000000980017b86361601000000000
337,0x00000000000,0x00000000000,0x02640062e,0x48a0c881,0x00000000,0,0,0000000000000000000000990018ba4506440800000000
338,0x00000000000,0x00000000000,0x02680066e,0x0e6e2e02,0x00000000,0,0,00000000000000000000009a0019b87371701000000000
339,0x00000000000,0x00000000000,0x02840082e,0x00000000,0x1dbd8002,0,0,0000000000000000000000a10020b800000001dbd80020
340,0x00000000000,0x00000000000,0x04862a7e3,0x00000000,0x00000000,0,0,0000000000000000000001218a9f8c0000000000000000
341,0x00000000000,0x00000000000,0x048a2a803,0x0a8a4a62,0x00000000,0,0,0000000000000000000001228aa00c5452531000000000
342,0x00000000000,0x00000000000,0x04a64aa03,0x00000000,0x19f9c003,0,0,00000000000000000000012992a80c000000019f9c0030
343,0x00000000000,0x00000000000,0x020c0060d,0x0c8c4c62,0x00000000,0,0,0000000000000000000000830018346462631000000000
344,0x00000000000,0x00000000000,0x020e0064d,0x00000000,0x00000000,0,0,0000000000000000000000838019340000000000000000
345,0x00000000000,0x00000000000,0x02100068d,0x0e8e4e62,0x00000000,0,0,000000000000000000000084001a347472731000000000
346,0x00000000000,0x00000000000,0x022c0084d,0x1f3efecb,0x00000000,0,0,00000000000000000000008b002134f9f7f65800000000
347,0x00000000000,0x00000000000,0x02880086e,0x5bc0bbb1,0x00000000,0,0,0000000000000000000000a20021bade05dd8800000000
348,0x00000000000,0x00000000000,0x028c008ae,0x4aa0ca81,0x00000000,0,0,0000000000000000000000a30022ba5506540800000000
349,0x00000000000,0x00000000000,0x02a800a6e,0x00000000,0x00000000,0,0,0000000000000000000000aa0029b80000000000000000
350,0x00000000000,0x00000000000,0x05ab7f9e1,0x4ca0cc81,0x00000000,0,0,00000000000000000000016adfe7866506640800000000
351,0x00000000000,0x00000000000,0x05b17fa21,0x00000000,0x00000000,0,0,00000000000000000000016c5fe8840000000000000000
352,0x00000000000,0x00000000000,0x05b77fa61,0x4ea0ce81,0x00000000,0,0,00000000000000000000016ddfe9867506740800000000
353,0x00000000000,0x00000000000,0x000000000,0x1f5f1f2b,0x00000000,0,0,000000000000000000000000000000faf8f95800000000
354,0x00000000000,0x00000000000,0x022e0088d,0x00000000,0x1bfbc003,0,0,00000000000000000000008b80223400000001bfbc0030
355,0x00000000000,0x00000000000,0x0230008cd,0x00000000,0x00000000,0,0,00000000000000000000008c0023340000000000000000
