Symbolic time: 2.904	2.904	0 ms
Numeric time: 1.532	0.552	0.979 ms
Symbolic time: 1.757	1.757	0 ms
Numeric time: 1.003	1.003	0 ms
Symbolic time: 1.733	1.734	0 ms
Numeric time: 0.987	0.987	0 ms
Symbolic time: 1.734	1.734	0 ms
Numeric time: 0.961	0.961	0 ms
Symbolic time: 1.726	1.726	0 ms
Numeric time: 0.96	0.96	0 ms
Symbolic time: 1.724	1.724	0 ms
Numeric time: 0.955	0.955	0 ms
Symbolic time: 1.733	1.733	0 ms
Numeric time: 0.955	0.956	0 ms
Symbolic time: 1.727	1.726	0.001 ms
Numeric time: 0.951	0.952	0 ms
Symbolic time: 1.726	1.725	0 ms
Numeric time: 0.956	0.956	0 ms
Symbolic time: 1.728	1.728	0 ms
Numeric time: 0.949	0	0.949 ms
Symbolic time: 1.731	1.731	0 ms
Numeric time: 0.951	0.951	0 ms
Symbolic time: 1.73	1.731	0 ms
Numeric time: 0.952	0	0.952 ms
Symbolic time: 1.725	1.724	0 ms
Numeric time: 0.951	0.95	0 ms
Symbolic time: 1.723	1.723	0 ms
Numeric time: 0.946	0.946	0 ms
Symbolic time: 1.727	1.694	0.032 ms
Numeric time: 0.95	0.95	0 ms
Symbolic time: 1.723	0.899	0.824 ms
Numeric time: 0.953	0.954	0 ms
Symbolic time: 1.733	1.732	0 ms
Numeric time: 0.952	0	0.955 ms
Symbolic time: 1.785	1.786	0 ms
Numeric time: 0.955	0.955	0 ms
Symbolic time: 1.728	1.728	0 ms
Numeric time: 0.958	0.958	0 ms
Symbolic time: 1.734	1.735	0 ms
Numeric time: 0.951	0.952	0 ms
Symbolic time: 1.727	1.727	0 ms
Numeric time: 0.95	0.95	0 ms
Symbolic time: 1.729	1.713	0.016 ms
Numeric time: 0.967	0	0.968 ms
Symbolic time: 1.719	1.698	0.021 ms
Numeric time: 0.95	0.951	0 ms
Symbolic time: 1.732	1.733	0 ms
Numeric time: 0.953	0	0.954 ms
Symbolic time: 1.726	1.726	0 ms
Numeric time: 0.952	0.952	0 ms
Symbolic time: 1.738	1.738	0 ms
Numeric time: 0.957	0.957	0 ms
Symbolic time: 1.726	0.768	0.957 ms
Numeric time: 0.956	0.956	0 ms
Symbolic time: 1.726	1.726	0 ms
Numeric time: 0.951	0.952	0 ms
Symbolic time: 1.723	1.678	0.045 ms
Numeric time: 0.952	0	0.953 ms
Symbolic time: 1.72	1.704	0.015 ms
Numeric time: 0.951	0.951	0 ms
Symbolic time: 1.721	1.721	0 ms
Numeric time: 0.953	0.953	0 ms
Symbolic time: 1.725	1.725	0 ms
Numeric time: 0.945	0.945	0 ms
Symbolic time: 1.731	1.731	0 ms
Numeric time: 0.95	0.951	0 ms
Symbolic time: 1.729	1.73	0 ms
Numeric time: 0.946	0.946	0 ms
